"Time [s]","Process load","System load"
0.0,0,0
1.0,9.93,34.22
2.01,1.12,7.53
3.01,0.49,4.63
4.02,0.83,4.38
5.02,2.2,9.75
6.02,0.9,11.02
7.03,0.54,10.59
8.03,0.24,7.41
9.04,0.18,15.5
10.04,0.21,8.29
11.05,0.19,8.83
12.05,0.18,5.63
13.05,0.18,5.64
14.06,0.17,3.87
15.06,0.18,5.25
16.06,0.18,3.76
17.07,0.21,9.73
18.07,0.19,7.4
19.07,0.17,8.39
20.08,0.18,8.55
21.08,0.18,9.53
22.08,0.17,7.74
23.09,0.25,7.41
24.09,0.19,5.13
25.1,0.18,8.87
26.1,0.18,10.05
27.11,0.2,10.16
28.11,0.19,5.54
29.11,0.18,11.84
30.12,0.18,7.14
31.12,0.19,13.78
32.13,0.18,7.4
33.13,0.19,4.38
34.14,0.16,7.38
35.14,0.17,4.6
36.14,0.17,3.9
37.15,0.19,15.55
38.15,0.18,12.68
39.16,0.17,9.96
40.16,0.19,10.42
41.16,0.27,9.04
42.17,2.01,13.87
43.17,1.52,7.14
44.17,1.17,6
45.17,2.05,8.66
46.18,1.6,8.13
47.18,2.44,10.17
48.19,1.95,9.78
49.19,1.14,4.75
50.2,1.63,10.9
51.2,2.12,7.04
52.2,1.58,9.27
53.2,1.6,11.81
54.21,1.53,8.39
55.21,1.33,7.68
56.22,1.75,8.12
57.22,1.36,5.94
58.22,1.56,10.15
59.22,1.62,7.39
60.23,1.58,8.42
61.23,1.51,7.24
62.23,3.08,10.07
63.24,1.09,6.25
64.25,1.81,9.18
65.25,1.82,7.78
66.25,1.7,9.28
67.25,1.6,8.64
68.26,1.28,7.42
69.26,1.47,7.65
70.26,1.66,8.71
71.27,1.55,8.85
72.27,1.03,7.13
73.28,0.8,4.36
74.29,1.51,8.03
75.29,1.54,7.16
76.29,2.27,11.29
77.3,1.26,5.88
78.3,1,7.91
79.31,0.28,3.75
80.31,0.2,5.51
81.31,0.19,3.52
82.32,0.22,4.98
83.32,0.17,3.5
84.33,0.46,5.63
85.33,2.86,11.79
86.33,2.12,17.11
87.34,1.27,8.13
88.34,0.77,10.03
89.35,0.38,6.88
90.35,0.59,14.48
91.35,0.46,8.65
92.36,0.18,11.77
93.36,0.19,7.76
94.36,0.35,8.39
95.36,0.39,34.35
96.36,0.26,19.94
97.37,0.48,12.54
98.37,0.59,8.51
99.37,0.47,6.54
100.38,0.25,8.9
101.38,0.2,6.91
102.39,0.19,8.03
103.39,0.17,5.51
104.39,0.18,4.26
105.4,0.24,2.61
106.4,0.16,3.74
107.41,0.16,3.74
108.42,0.17,4.36
109.42,0.19,4.13
110.42,0.16,6
111.42,0.17,3.87
112.43,0.17,4.13
113.43,0.17,4
114.44,0.19,8.76
115.44,0.16,5.63
116.44,0.18,12.37
117.44,0.16,5.89
118.45,0.18,6.9
119.45,0.12,6.15
120.46,0.12,8.35
121.46,0.1,4.76
122.47,0.12,8.71
123.47,0.12,16.49
124.48,0.13,5.76
125.48,0.12,4.51
126.48,0.13,7.18
127.49,0.2,7.12
128.49,0.17,10.28
129.5,0.18,10.66
130.5,0.19,12.28
131.5,0.19,10.84
132.51,0.17,10.51
133.51,0.18,6
134.52,0.17,8.37
135.52,0.16,4.38
136.52,0.17,6.64
137.53,0.17,16.24
138.53,0.15,6.76
139.54,0.17,5
140.54,0.17,4.73
141.55,0.17,4.14
142.55,0.17,7.12
143.56,0.19,20.37
144.56,0.19,28.28
145.57,0.16,6.11
146.57,0.18,5.4
147.58,0.16,3.11
148.58,0.17,4.25
149.59,0.17,4.63
150.59,0.18,5.65
151.59,0.17,4.48
152.59,0.19,8.7
153.6,0.19,8
154.6,0.19,9.91
155.61,0.18,5.52
156.61,0.18,6.73
157.62,0.18,5.14
158.62,0.19,16.35
159.63,0.19,7.99
160.63,1.43,30.76
161.63,0.19,18.23
162.64,0.21,16.02
163.64,0.17,9.82
164.64,0.2,9.01
165.65,0.16,5.64
166.65,0.2,13.49
167.65,0.22,13.42
168.66,0.19,10.34
169.66,0.21,10.56
170.66,0.2,8.87
171.67,0.19,23.19
172.67,0.24,19.17
173.68,0.26,22.5
174.68,0.16,9.5
175.68,0.14,18.73
176.69,0.11,12.07
177.69,0.12,12.26
178.7,0.19,8.65
179.7,0.15,2.62
180.7,0.16,1.99
181.71,0.15,1.74
182.72,0.16,2.73
183.72,0.15,2.5
184.72,0.17,4.86
