"Time [s]","Committed size","Free size","Used size"
0.0,262144000,254646000,7498000
1.0,262144000,232118000,30026000
2.01,262144000,231667000,30477000
3.01,262144000,231667000,30477000
4.02,262144000,231667000,30477000
5.02,262144000,231667000,30477000
6.02,262144000,231483000,30661000
7.03,262144000,231483000,30661000
8.03,262144000,231483000,30661000
9.04,262144000,231483000,30661000
10.04,262144000,231483000,30661000
11.05,262144000,231483000,30661000
12.05,262144000,231483000,30661000
13.05,262144000,231483000,30661000
14.06,262144000,231483000,30661000
15.06,262144000,231483000,30661000
16.06,262144000,231483000,30661000
17.07,262144000,231483000,30661000
18.07,262144000,231483000,30661000
19.07,262144000,231483000,30661000
20.08,262144000,231483000,30661000
21.08,262144000,231483000,30661000
22.08,262144000,231483000,30661000
23.09,262144000,231483000,30661000
24.09,262144000,231483000,30661000
25.1,262144000,231483000,30661000
26.1,262144000,231483000,30661000
27.11,262144000,231483000,30661000
28.11,262144000,231483000,30661000
29.11,262144000,231483000,30661000
30.12,262144000,231483000,30661000
31.12,262144000,231483000,30661000
32.13,262144000,231483000,30661000
33.13,262144000,231483000,30661000
34.14,262144000,231483000,30661000
35.14,262144000,231483000,30661000
36.14,262144000,231483000,30661000
37.15,262144000,231483000,30661000
38.15,262144000,231483000,30661000
39.16,262144000,231483000,30661000
40.16,262144000,231483000,30661000
41.16,262144000,231483000,30661000
42.17,262144000,248250000,13894000
43.17,262144000,248066000,14078000
44.17,262144000,247704000,14440000
45.17,262144000,247498000,14646000
46.18,262144000,247295000,14849000
47.18,262144000,245981000,16163000
48.19,262144000,245981000,16163000
49.19,262144000,245778000,16366000
50.2,262144000,245015000,17129000
51.2,262144000,244812000,17332000
52.2,262144000,244423000,17721000
53.2,262144000,244034000,18110000
54.21,262144000,243831000,18313000
55.21,262144000,243608000,18536000
56.22,262144000,243402000,18742000
57.22,262144000,243013000,19131000
58.22,262144000,242810000,19334000
59.22,262144000,242421000,19723000
60.23,262144000,242218000,19926000
61.23,262144000,241828000,20316000
62.23,262144000,241625000,20519000
63.24,262144000,241560000,20584000
64.25,262144000,241168000,20976000
65.25,262144000,240779000,21365000
66.25,262144000,240576000,21568000
67.25,262144000,240186000,21958000
68.26,262144000,240186000,21958000
69.26,262144000,239797000,22347000
70.26,262144000,239594000,22550000
71.27,262144000,239306000,22838000
72.27,262144000,238917000,23227000
73.28,262144000,238917000,23227000
74.29,262144000,238714000,23430000
75.29,262144000,238325000,23819000
76.29,262144000,237813000,24331000
77.3,262144000,237627000,24517000
78.3,262144000,237464000,24680000
79.31,262144000,237464000,24680000
80.31,262144000,237464000,24680000
81.31,262144000,237464000,24680000
82.32,262144000,237464000,24680000
83.32,262144000,237464000,24680000
84.33,262144000,237464000,24680000
85.33,262144000,237055000,25089000
86.33,262144000,236666000,25478000
87.34,262144000,236666000,25478000
88.34,262144000,236463000,25681000
89.35,262144000,236463000,25681000
90.35,262144000,236463000,25681000
91.35,262144000,236463000,25681000
92.36,262144000,236463000,25681000
93.36,262144000,236463000,25681000
94.36,262144000,236463000,25681000
95.36,262144000,236463000,25681000
96.36,262144000,236463000,25681000
97.37,262144000,236463000,25681000
98.37,262144000,236463000,25681000
99.37,262144000,236463000,25681000
100.38,262144000,236463000,25681000
101.38,262144000,236463000,25681000
102.39,262144000,236463000,25681000
103.39,262144000,236463000,25681000
104.39,262144000,236463000,25681000
105.4,262144000,236463000,25681000
106.4,262144000,236463000,25681000
107.41,262144000,236463000,25681000
108.42,262144000,236463000,25681000
109.42,262144000,236463000,25681000
110.42,262144000,236463000,25681000
111.42,262144000,236463000,25681000
112.43,262144000,236463000,25681000
113.43,262144000,236463000,25681000
114.44,262144000,236463000,25681000
115.44,262144000,236463000,25681000
116.44,262144000,236463000,25681000
117.44,262144000,236463000,25681000
118.45,262144000,236463000,25681000
119.45,262144000,236463000,25681000
120.46,262144000,236463000,25681000
121.46,262144000,236463000,25681000
122.47,262144000,236463000,25681000
123.47,262144000,236463000,25681000
124.48,262144000,236463000,25681000
125.48,262144000,236463000,25681000
126.48,262144000,236463000,25681000
127.49,262144000,236463000,25681000
128.49,262144000,236463000,25681000
129.5,262144000,236463000,25681000
130.5,262144000,236463000,25681000
131.5,262144000,236463000,25681000
132.51,262144000,236463000,25681000
133.51,262144000,236463000,25681000
134.52,262144000,236463000,25681000
135.52,262144000,236463000,25681000
136.52,262144000,236463000,25681000
137.53,262144000,236463000,25681000
138.53,262144000,236463000,25681000
139.54,262144000,236463000,25681000
140.54,262144000,236463000,25681000
141.55,262144000,236463000,25681000
142.55,262144000,236463000,25681000
143.56,262144000,236463000,25681000
144.56,262144000,236463000,25681000
145.57,262144000,236463000,25681000
146.57,262144000,236463000,25681000
147.58,262144000,236463000,25681000
148.58,262144000,236463000,25681000
149.59,262144000,236463000,25681000
150.59,262144000,236463000,25681000
151.59,262144000,236463000,25681000
152.59,262144000,236463000,25681000
153.6,262144000,236463000,25681000
154.6,262144000,236463000,25681000
155.61,262144000,236463000,25681000
156.61,262144000,236463000,25681000
157.62,262144000,236463000,25681000
158.62,262144000,236463000,25681000
159.63,262144000,236463000,25681000
160.63,262144000,236463000,25681000
161.63,262144000,236463000,25681000
162.64,262144000,236463000,25681000
163.64,262144000,236463000,25681000
164.64,262144000,236463000,25681000
165.65,262144000,236463000,25681000
166.65,262144000,236463000,25681000
167.65,262144000,236463000,25681000
168.66,262144000,236463000,25681000
169.66,262144000,236463000,25681000
170.66,262144000,236463000,25681000
171.67,262144000,236463000,25681000
172.67,262144000,236463000,25681000
173.68,262144000,236463000,25681000
174.68,262144000,236463000,25681000
175.68,262144000,236463000,25681000
176.69,262144000,236463000,25681000
177.69,262144000,236463000,25681000
178.7,262144000,236463000,25681000
179.7,262144000,236463000,25681000
180.7,262144000,236463000,25681000
181.71,262144000,236463000,25681000
182.72,262144000,236463000,25681000
183.72,262144000,236463000,25681000
184.72,262144000,236463000,25681000
185.73,262144000,236463000,25681000
186.73,262144000,236463000,25681000
187.74,262144000,236463000,25681000
188.74,262144000,236463000,25681000
189.74,262144000,236463000,25681000
190.75,262144000,236463000,25681000
191.75,262144000,236463000,25681000
192.75,262144000,236463000,25681000
193.75,262144000,236463000,25681000
194.76,262144000,236463000,25681000
195.76,262144000,236463000,25681000
196.76,262144000,236463000,25681000
197.76,262144000,236463000,25681000
198.77,262144000,236463000,25681000
199.77,262144000,236463000,25681000
200.77,262144000,236463000,25681000
201.78,262144000,236463000,25681000
202.78,262144000,236463000,25681000
203.79,262144000,236463000,25681000
204.79,262144000,236463000,25681000
205.79,262144000,236463000,25681000
206.79,262144000,236463000,25681000
207.8,262144000,236463000,25681000
208.8,262144000,236463000,25681000
209.8,262144000,236275000,25869000
210.81,262144000,236275000,25869000
211.81,262144000,236275000,25869000
212.82,262144000,236275000,25869000
