# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"Time [s]","Total number of threads","Runnable threads","Blocked threads","Threads in Net I/O","Waiting threads"
0.0,1,1,0,0,0
1.0,2,0,0,0,2
2.01,2,0,0,0,2
3.01,2,0,0,0,2
4.02,2,0,0,0,2
5.02,2,0,0,0,2
6.02,1,0,0,0,1
7.03,1,0,0,0,1
8.03,1,0,0,0,1
9.04,1,0,0,0,1
10.04,1,0,0,0,1
11.05,1,0,0,0,1
12.05,1,0,0,0,1
13.05,1,0,0,0,1
14.06,1,0,0,0,1
15.06,1,0,0,0,1
16.06,1,0,0,0,1
17.07,1,0,0,0,1
18.07,1,0,0,0,1
19.07,1,0,0,0,1
20.08,1,0,0,0,1
21.08,1,0,0,0,1
22.08,1,0,0,0,1
23.09,1,0,0,0,1
24.09,1,0,0,0,1
25.1,1,0,0,0,1
26.1,1,0,0,0,1
27.11,1,0,0,0,1
28.11,1,0,0,0,1
29.11,1,0,0,0,1
30.12,1,0,0,0,1
31.12,1,0,0,0,1
32.13,1,0,0,0,1
33.13,1,0,0,0,1
34.14,1,0,0,0,1
35.14,1,0,0,0,1
36.14,1,0,0,0,1
37.15,1,0,0,0,1
38.15,1,0,0,0,1
39.16,1,0,0,0,1
40.16,1,0,0,0,1
41.16,1,0,0,0,1
42.17,1,0,0,0,1
43.17,1,0,0,0,1
44.17,1,0,0,0,1
45.17,1,0,0,0,1
46.18,1,0,0,0,1
47.18,1,0,0,0,1
48.19,1,0,0,0,1
49.19,1,0,0,0,1
50.2,1,0,0,0,1
51.2,1,0,0,0,1
52.2,1,0,0,0,1
53.2,1,0,0,0,1
54.21,1,0,0,0,1
55.21,1,0,0,0,1
56.22,1,0,0,0,1
57.22,1,0,0,0,1
58.22,1,0,0,0,1
59.22,1,0,0,0,1
60.23,1,0,0,0,1
61.23,1,0,0,0,1
62.23,1,0,0,0,1
63.24,1,0,0,0,1
64.25,1,0,0,0,1
65.25,1,0,0,0,1
66.25,1,0,0,0,1
67.25,1,0,0,0,1
68.26,1,0,0,0,1
69.26,1,0,0,0,1
70.26,1,0,0,0,1
71.27,1,0,0,0,1
72.27,1,0,0,0,1
73.28,1,0,0,0,1
74.29,1,0,0,0,1
75.29,1,0,0,0,1
76.29,1,0,0,0,1
77.3,1,0,0,0,1
78.3,1,0,0,0,1
79.31,1,0,0,0,1
80.31,1,0,0,0,1
81.31,1,0,0,0,1
82.32,1,0,0,0,1
83.32,1,0,0,0,1
84.33,1,0,0,0,1
85.33,1,0,0,0,1
86.33,1,0,0,0,1
87.34,1,0,0,0,1
88.34,1,0,0,0,1
89.35,1,0,0,0,1
90.35,1,0,0,0,1
91.35,1,0,0,0,1
92.36,1,0,0,0,1
93.36,1,0,0,0,1
94.36,1,0,0,0,1
95.36,1,0,0,0,1
96.36,1,0,0,0,1
97.37,1,0,0,0,1
98.37,1,0,0,0,1
99.37,1,0,0,0,1
100.38,1,0,0,0,1
101.38,1,0,0,0,1
102.39,1,0,0,0,1
103.39,1,0,0,0,1
104.39,1,0,0,0,1
105.4,1,0,0,0,1
106.4,1,0,0,0,1
107.41,1,0,0,0,1
108.42,1,0,0,0,1
109.42,1,0,0,0,1
110.42,1,0,0,0,1
111.42,1,0,0,0,1
112.43,1,0,0,0,1
113.43,1,0,0,0,1
114.44,1,0,0,0,1
115.44,1,0,0,0,1
116.44,1,0,0,0,1
117.44,1,0,0,0,1
118.45,1,0,0,0,1
119.45,1,0,0,0,1
120.46,1,0,0,0,1
121.46,1,0,0,0,1
122.47,1,0,0,0,1
123.47,1,0,0,0,1
124.48,1,0,0,0,1
125.48,1,0,0,0,1
126.48,1,0,0,0,1
127.49,1,0,0,0,1
128.49,1,0,0,0,1
129.5,1,0,0,0,1
130.5,1,0,0,0,1
131.5,1,0,0,0,1
132.51,1,0,0,0,1
133.51,1,0,0,0,1
134.52,1,0,0,0,1
135.52,1,0,0,0,1
136.52,1,0,0,0,1
137.53,1,0,0,0,1
138.53,1,0,0,0,1
139.54,1,0,0,0,1
140.54,1,0,0,0,1
141.55,1,0,0,0,1
142.55,1,0,0,0,1
143.56,1,0,0,0,1
144.56,1,0,0,0,1
145.57,1,0,0,0,1
146.57,1,0,0,0,1
147.58,1,0,0,0,1
148.58,1,0,0,0,1
149.59,1,0,0,0,1
150.59,1,0,0,0,1
151.59,1,0,0,0,1
152.59,1,0,0,0,1
153.6,1,0,0,0,1
154.6,1,0,0,0,1
155.61,1,0,0,0,1
156.61,1,0,0,0,1
157.62,1,0,0,0,1
158.62,1,0,0,0,1
159.63,1,0,0,0,1
160.63,1,0,0,0,1
161.63,1,0,0,0,1
162.64,1,0,0,0,1
163.64,1,0,0,0,1
164.64,1,0,0,0,1
165.65,1,0,0,0,1
166.65,1,0,0,0,1
167.65,1,0,0,0,1
168.66,1,0,0,0,1
169.66,1,0,0,0,1
